Date;Antenna;Data;Time (secs)
Wed Aug 27 14:25:05 2008; TP Ant 1;0.078004003;0
Wed Aug 27 14:25:06 2008; TP Ant 1;92602.92188;1
Wed Aug 27 14:25:07 2008; TP Ant 1;92208.34375;2
Wed Aug 27 14:25:08 2008; TP Ant 1;92471.79688;3
Wed Aug 27 14:25:09 2008; TP Ant 1;92389.35938;4
Wed Aug 27 14:25:10 2008; TP Ant 1;92578.15625;5
Wed Aug 27 14:25:11 2008; TP Ant 1;92062.65625;6
Wed Aug 27 14:25:12 2008; TP Ant 1;92610.23438;7
Wed Aug 27 14:25:13 2008; TP Ant 1;91747.10938;8
Wed Aug 27 14:25:14 2008; TP Ant 1;92003.64063;9
Wed Aug 27 14:25:15 2008; TP Ant 1;91909.49219;10
Wed Aug 27 14:25:16 2008; TP Ant 1;90891.60156;11
Wed Aug 27 14:25:17 2008; TP Ant 1;90543.10156;12
Wed Aug 27 14:25:18 2008; TP Ant 1;90503.24219;13
Wed Aug 27 14:25:19 2008; TP Ant 1;90957.85938;14
Wed Aug 27 14:25:20 2008; TP Ant 1;90890.5625;15
Wed Aug 27 14:25:21 2008; TP Ant 1;90247.57813;16
Wed Aug 27 14:25:22 2008; TP Ant 1;90897.92188;17
Wed Aug 27 14:25:23 2008; TP Ant 1;91165.74219;18
Wed Aug 27 14:25:24 2008; TP Ant 1;90320.21875;19
Wed Aug 27 14:25:25 2008; TP Ant 1;90883.58594;20
Wed Aug 27 14:25:26 2008; TP Ant 1;90423.14844;21
Wed Aug 27 14:25:27 2008; TP Ant 1;90822.63281;22
Wed Aug 27 14:25:28 2008; TP Ant 1;90739.57813;23
Wed Aug 27 14:25:29 2008; TP Ant 1;91161.25;24
Wed Aug 27 14:25:30 2008; TP Ant 1;90394.92969;25
Wed Aug 27 14:25:31 2008; TP Ant 1;91656.50781;26
Wed Aug 27 14:25:32 2008; TP Ant 1;90921.51563;27
Wed Aug 27 14:25:33 2008; TP Ant 1;90891.26563;28
Wed Aug 27 14:25:34 2008; TP Ant 1;90423.15625;29
Wed Aug 27 14:25:35 2008; TP Ant 1;90557.10938;30
Wed Aug 27 14:25:36 2008; TP Ant 1;90844.27344;31
Wed Aug 27 14:25:37 2008; TP Ant 1;90562.14844;32
Wed Aug 27 14:25:38 2008; TP Ant 1;91029.83594;33
Wed Aug 27 14:25:39 2008; TP Ant 1;91410.98438;34
Wed Aug 27 14:25:40 2008; TP Ant 1;91001.25;35
Wed Aug 27 14:25:41 2008; TP Ant 1;90902.5;36
Wed Aug 27 14:25:42 2008; TP Ant 1;90604.76563;37
Wed Aug 27 14:25:43 2008; TP Ant 1;90502.41406;38
Wed Aug 27 14:25:44 2008; TP Ant 1;90839.17188;39
Wed Aug 27 14:25:45 2008; TP Ant 1;89937.52344;40
Wed Aug 27 14:25:46 2008; TP Ant 1;90122.51563;41
Wed Aug 27 14:25:47 2008; TP Ant 1;90858.30469;42
Wed Aug 27 14:25:48 2008; TP Ant 1;91145.76563;43
Wed Aug 27 14:25:49 2008; TP Ant 1;91324.10938;44
Wed Aug 27 14:25:50 2008; TP Ant 1;90959.65625;45
Wed Aug 27 14:25:51 2008; TP Ant 1;91308.42188;46
Wed Aug 27 14:25:52 2008; TP Ant 1;90968.78125;47
Wed Aug 27 14:25:53 2008; TP Ant 1;91121.17969;48
Wed Aug 27 14:25:54 2008; TP Ant 1;91224.60938;49
Wed Aug 27 14:25:55 2008; TP Ant 1;90727.28125;50
Wed Aug 27 14:25:56 2008; TP Ant 1;91456.375;51
Wed Aug 27 14:25:57 2008; TP Ant 1;90600.76563;52
Wed Aug 27 14:25:58 2008; TP Ant 1;90432.125;53
Wed Aug 27 14:25:59 2008; TP Ant 1;90901.76563;54
Wed Aug 27 14:26:00 2008; TP Ant 1;91179.63281;55
Wed Aug 27 14:26:01 2008; TP Ant 1;90398.15625;56
Wed Aug 27 14:26:02 2008; TP Ant 1;90567.30469;57
Wed Aug 27 14:26:03 2008; TP Ant 1;90946.23438;58
Wed Aug 27 14:26:04 2008; TP Ant 1;90672.95313;59
Wed Aug 27 14:26:05 2008; TP Ant 1;90847.85938;60
Wed Aug 27 14:26:06 2008; TP Ant 1;90764.73438;61
Wed Aug 27 14:26:07 2008; TP Ant 1;90816.84375;62
Wed Aug 27 14:26:08 2008; TP Ant 1;90782.03125;63
Wed Aug 27 14:26:09 2008; TP Ant 1;90296.22656;64
Wed Aug 27 14:26:10 2008; TP Ant 1;90141.79688;65
Wed Aug 27 14:26:11 2008; TP Ant 1;90498.5625;66
Wed Aug 27 14:26:12 2008; TP Ant 1;90271.51563;67
Wed Aug 27 14:26:13 2008; TP Ant 1;90509.51563;68
Wed Aug 27 14:26:14 2008; TP Ant 1;90419.53125;69
Wed Aug 27 14:26:15 2008; TP Ant 1;90342.75;70
Wed Aug 27 14:26:16 2008; TP Ant 1;90203.95313;71
Wed Aug 27 14:26:17 2008; TP Ant 1;90105.6875;72
Wed Aug 27 14:26:18 2008; TP Ant 1;90409.09375;73
Wed Aug 27 14:26:19 2008; TP Ant 1;91034.92188;74
Wed Aug 27 14:26:20 2008; TP Ant 1;90826.59375;75
Wed Aug 27 14:26:21 2008; TP Ant 1;90785.1875;76
Wed Aug 27 14:26:22 2008; TP Ant 1;90121.54688;77
Wed Aug 27 14:26:23 2008; TP Ant 1;90576.92188;78
Wed Aug 27 14:26:24 2008; TP Ant 1;90340.51563;79
Wed Aug 27 14:26:25 2008; TP Ant 1;90323.27344;80
Wed Aug 27 14:26:26 2008; TP Ant 1;90480.4375;81
Wed Aug 27 14:26:27 2008; TP Ant 1;90671.84375;82
Wed Aug 27 14:26:28 2008; TP Ant 1;90460.07031;83
Wed Aug 27 14:26:29 2008; TP Ant 1;90755.0625;84
Wed Aug 27 14:26:30 2008; TP Ant 1;90934.03125;85
Wed Aug 27 14:26:31 2008; TP Ant 1;90472.09375;86
Wed Aug 27 14:26:32 2008; TP Ant 1;90504.79688;87
Wed Aug 27 14:26:33 2008; TP Ant 1;90854.84375;88
Wed Aug 27 14:26:34 2008; TP Ant 1;90423.63281;89
Wed Aug 27 14:26:35 2008; TP Ant 1;90696.76563;90
Wed Aug 27 14:26:36 2008; TP Ant 1;90435.04688;91
Wed Aug 27 14:26:37 2008; TP Ant 1;90665.4375;92
Wed Aug 27 14:26:38 2008; TP Ant 1;90807.63281;93
Wed Aug 27 14:26:39 2008; TP Ant 1;90404.64844;94
Wed Aug 27 14:26:40 2008; TP Ant 1;90400.1875;95
Wed Aug 27 14:26:41 2008; TP Ant 1;90427.02344;96
Wed Aug 27 14:26:42 2008; TP Ant 1;90739.63281;97
Wed Aug 27 14:26:43 2008; TP Ant 1;90353.59375;98
Wed Aug 27 14:26:44 2008; TP Ant 1;90339.77344;99
Wed Aug 27 14:26:45 2008; TP Ant 1;90832.39063;100
Wed Aug 27 14:26:46 2008; TP Ant 1;90889.21875;101
Wed Aug 27 14:26:47 2008; TP Ant 1;90854.79688;102
Wed Aug 27 14:26:48 2008; TP Ant 1;90760.03906;103
Wed Aug 27 14:26:49 2008; TP Ant 1;90697.5;104
Wed Aug 27 14:26:50 2008; TP Ant 1;90745.4375;105
Wed Aug 27 14:26:51 2008; TP Ant 1;89925.17969;106
Wed Aug 27 14:26:52 2008; TP Ant 1;91079.05469;107
Wed Aug 27 14:26:53 2008; TP Ant 1;90415.46875;108
Wed Aug 27 14:26:54 2008; TP Ant 1;90669.54688;109
Wed Aug 27 14:26:55 2008; TP Ant 1;90383.15625;110
Wed Aug 27 14:26:56 2008; TP Ant 1;90749.60156;111
Wed Aug 27 14:26:57 2008; TP Ant 1;90516.53125;112
Wed Aug 27 14:26:58 2008; TP Ant 1;90250.10938;113
Wed Aug 27 14:26:59 2008; TP Ant 1;90099.95313;114
Wed Aug 27 14:27:00 2008; TP Ant 1;90720.90625;115
Wed Aug 27 14:27:01 2008; TP Ant 1;91063.96875;116
Wed Aug 27 14:27:02 2008; TP Ant 1;90742.57813;117
Wed Aug 27 14:27:03 2008; TP Ant 1;90321.34375;118
Wed Aug 27 14:27:04 2008; TP Ant 1;90484.84375;119
Wed Aug 27 14:27:05 2008; TP Ant 1;90046.66406;120
Wed Aug 27 14:27:06 2008; TP Ant 1;90292.85938;121
Wed Aug 27 14:27:07 2008; TP Ant 1;90705.39063;122
Wed Aug 27 14:27:08 2008; TP Ant 1;90103.50781;123
Wed Aug 27 14:27:09 2008; TP Ant 1;90371.15625;124
Wed Aug 27 14:27:10 2008; TP Ant 1;90675.5625;125
Wed Aug 27 14:27:11 2008; TP Ant 1;90319.86719;126
Wed Aug 27 14:27:12 2008; TP Ant 1;90391.23438;127
Wed Aug 27 14:27:13 2008; TP Ant 1;90872;128
Wed Aug 27 14:27:14 2008; TP Ant 1;90611.92188;129
Wed Aug 27 14:27:15 2008; TP Ant 1;90135.3125;130
Wed Aug 27 14:27:16 2008; TP Ant 1;90574.92188;131
Wed Aug 27 14:27:17 2008; TP Ant 1;90147.86719;132
Wed Aug 27 14:27:18 2008; TP Ant 1;90131.42969;133
Wed Aug 27 14:27:19 2008; TP Ant 1;90966.28125;134
Wed Aug 27 14:27:20 2008; TP Ant 1;90428.54688;135
Wed Aug 27 14:27:21 2008; TP Ant 1;91002;136
Wed Aug 27 14:27:22 2008; TP Ant 1;90923.90625;137
Wed Aug 27 14:27:23 2008; TP Ant 1;90418.16406;138
Wed Aug 27 14:27:24 2008; TP Ant 1;91205.03906;139
Wed Aug 27 14:27:25 2008; TP Ant 1;90707.75;140
Wed Aug 27 14:27:26 2008; TP Ant 1;90245.10938;141
Wed Aug 27 14:27:27 2008; TP Ant 1;89797.21875;142
Wed Aug 27 14:27:28 2008; TP Ant 1;90069.29688;143
Wed Aug 27 14:27:29 2008; TP Ant 1;90395.22656;144
Wed Aug 27 14:27:30 2008; TP Ant 1;90347.5;145
Wed Aug 27 14:27:31 2008; TP Ant 1;90588.96875;146
Wed Aug 27 14:27:32 2008; TP Ant 1;90326.92188;147
Wed Aug 27 14:27:33 2008; TP Ant 1;90259.5625;148
Wed Aug 27 14:27:34 2008; TP Ant 1;90524.28125;149
Wed Aug 27 14:27:35 2008; TP Ant 1;90383.1875;150
Wed Aug 27 14:27:36 2008; TP Ant 1;91132.5;151
Wed Aug 27 14:27:37 2008; TP Ant 1;90836.21094;152
Wed Aug 27 14:27:38 2008; TP Ant 1;90578.67188;153
Wed Aug 27 14:27:39 2008; TP Ant 1;90308.50781;154
Wed Aug 27 14:27:40 2008; TP Ant 1;90329.04688;155
Wed Aug 27 14:27:41 2008; TP Ant 1;90569.89063;156
Wed Aug 27 14:27:42 2008; TP Ant 1;90234.60156;157
Wed Aug 27 14:27:43 2008; TP Ant 1;90379.89844;158
Wed Aug 27 14:27:44 2008; TP Ant 1;89978.1875;159
Wed Aug 27 14:27:45 2008; TP Ant 1;91003.85156;160
Wed Aug 27 14:27:46 2008; TP Ant 1;90170.66406;161
Wed Aug 27 14:27:47 2008; TP Ant 1;90552.25;162
Wed Aug 27 14:27:48 2008; TP Ant 1;90707.42188;163
Wed Aug 27 14:27:49 2008; TP Ant 1;90613.64063;164
Wed Aug 27 14:27:50 2008; TP Ant 1;90267.61719;165
Wed Aug 27 14:27:51 2008; TP Ant 1;90456.17188;166
Wed Aug 27 14:27:52 2008; TP Ant 1;90356.125;167
Wed Aug 27 14:27:53 2008; TP Ant 1;90728.66406;168
Wed Aug 27 14:27:54 2008; TP Ant 1;90393.76563;169
Wed Aug 27 14:27:55 2008; TP Ant 1;90855.15625;170
Wed Aug 27 14:27:56 2008; TP Ant 1;90391.39063;171
Wed Aug 27 14:27:57 2008; TP Ant 1;90657.78906;172
Wed Aug 27 14:27:58 2008; TP Ant 1;90579.25781;173
Wed Aug 27 14:27:59 2008; TP Ant 1;90413.45313;174
Wed Aug 27 14:28:00 2008; TP Ant 1;90576.125;175
Wed Aug 27 14:28:01 2008; TP Ant 1;90705.82031;176
Wed Aug 27 14:28:02 2008; TP Ant 1;90662.92969;177
Wed Aug 27 14:28:03 2008; TP Ant 1;90335.25;178
Wed Aug 27 14:28:04 2008; TP Ant 1;90446.41406;179
Wed Aug 27 14:28:05 2008; TP Ant 1;90817.35156;180
Wed Aug 27 14:28:06 2008; TP Ant 1;90287.76563;181
Wed Aug 27 14:28:07 2008; TP Ant 1;90891.75781;182
Wed Aug 27 14:28:08 2008; TP Ant 1;91259.03125;183
Wed Aug 27 14:28:09 2008; TP Ant 1;91031.07031;184
Wed Aug 27 14:28:10 2008; TP Ant 1;90221.26563;185
Wed Aug 27 14:28:11 2008; TP Ant 1;90283.26563;186
Wed Aug 27 14:28:12 2008; TP Ant 1;90511.96875;187
Wed Aug 27 14:28:13 2008; TP Ant 1;90262.67188;188
Wed Aug 27 14:28:14 2008; TP Ant 1;90167.46875;189
Wed Aug 27 14:28:15 2008; TP Ant 1;90193.23438;190
Wed Aug 27 14:28:16 2008; TP Ant 1;90232;191
Wed Aug 27 14:28:17 2008; TP Ant 1;90111.98438;192
Wed Aug 27 14:28:18 2008; TP Ant 1;90669.71875;193
Wed Aug 27 14:28:19 2008; TP Ant 1;90033.11719;194
Wed Aug 27 14:28:20 2008; TP Ant 1;89711.70313;195
Wed Aug 27 14:28:21 2008; TP Ant 1;90681.4375;196
Wed Aug 27 14:28:22 2008; TP Ant 1;90465.35938;197
Wed Aug 27 14:28:23 2008; TP Ant 1;89625.50781;198
Wed Aug 27 14:28:24 2008; TP Ant 1;90597.625;199
Wed Aug 27 14:28:25 2008; TP Ant 1;89940.78125;200
Wed Aug 27 14:28:26 2008; TP Ant 1;90239.21875;201
Wed Aug 27 14:28:27 2008; TP Ant 1;90155.22656;202
Wed Aug 27 14:28:28 2008; TP Ant 1;90090.3125;203
Wed Aug 27 14:28:29 2008; TP Ant 1;90220.76563;204
Wed Aug 27 14:28:30 2008; TP Ant 1;90171.58594;205
Wed Aug 27 14:28:31 2008; TP Ant 1;90471.57813;206
Wed Aug 27 14:28:32 2008; TP Ant 1;90566.45313;207
Wed Aug 27 14:28:33 2008; TP Ant 1;90735.9375;208
Wed Aug 27 14:28:34 2008; TP Ant 1;90528.875;209
Wed Aug 27 14:28:35 2008; TP Ant 1;90692.85938;210
Wed Aug 27 14:28:36 2008; TP Ant 1;90044.95313;211
Wed Aug 27 14:28:37 2008; TP Ant 1;90075.20313;212
Wed Aug 27 14:28:38 2008; TP Ant 1;90321.54688;213
Wed Aug 27 14:28:39 2008; TP Ant 1;90469.57813;214
Wed Aug 27 14:28:40 2008; TP Ant 1;91041.01563;215
Wed Aug 27 14:28:41 2008; TP Ant 1;90402.07813;216
Wed Aug 27 14:28:42 2008; TP Ant 1;90410.75781;217
Wed Aug 27 14:28:43 2008; TP Ant 1;90170.89063;218
Wed Aug 27 14:28:44 2008; TP Ant 1;89951.02344;219
Wed Aug 27 14:28:45 2008; TP Ant 1;90214.51563;220
Wed Aug 27 14:28:46 2008; TP Ant 1;90168.625;221
Wed Aug 27 14:28:47 2008; TP Ant 1;90426.42188;222
Wed Aug 27 14:28:48 2008; TP Ant 1;90019.14063;223
Wed Aug 27 14:28:49 2008; TP Ant 1;90707.03906;224
Wed Aug 27 14:28:50 2008; TP Ant 1;90167.96875;225
Wed Aug 27 14:28:51 2008; TP Ant 1;90442.39063;226
Wed Aug 27 14:28:52 2008; TP Ant 1;90470.30469;227
Wed Aug 27 14:28:53 2008; TP Ant 1;89923.48438;228
Wed Aug 27 14:28:54 2008; TP Ant 1;90365.8125;229
Wed Aug 27 14:28:55 2008; TP Ant 1;91006.22656;230
Wed Aug 27 14:28:56 2008; TP Ant 1;91184.05469;231
Wed Aug 27 14:28:57 2008; TP Ant 1;90364.3125;232
Wed Aug 27 14:28:58 2008; TP Ant 1;91129.04688;233
Wed Aug 27 14:28:59 2008; TP Ant 1;90845.15625;234
Wed Aug 27 14:29:00 2008; TP Ant 1;90874.28125;235
Wed Aug 27 14:29:01 2008; TP Ant 1;91023.23438;236
Wed Aug 27 14:29:02 2008; TP Ant 1;90641.15625;237
Wed Aug 27 14:29:03 2008; TP Ant 1;90429.125;238
Wed Aug 27 14:29:04 2008; TP Ant 1;90905.3125;239
Wed Aug 27 14:29:05 2008; TP Ant 1;90194.61719;240
Wed Aug 27 14:29:06 2008; TP Ant 1;91058.58594;241
Wed Aug 27 14:29:07 2008; TP Ant 1;90940.25;242
Wed Aug 27 14:29:08 2008; TP Ant 1;91088.46875;243
Wed Aug 27 14:29:09 2008; TP Ant 1;90933.80469;244
Wed Aug 27 14:29:10 2008; TP Ant 1;90321.71875;245
Wed Aug 27 14:29:11 2008; TP Ant 1;90262.625;246
